name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Bosch,industrial,Onet-le-Château,https://www.bosch.fr/,,,,1000+,R&D industrielle,2026-09-24
DevWorker,ai|software,Moyrazès,https://dev-worker.com/,,,,,Applications et SaaS,2026-09-24
FCS Informatique,cybersecurity|software,Rodez,https://www.fcs-informatique.fr/,,,,,Solutions informatiques,2026-09-24
H12 Tech,cybersecurity|saas|software,Millau,https://tech.h12.fr/,,,Python|PostgreSQL,,Éditeur de logiciels,2026-09-24
neoTI,saas|software,Rodez,https://neo-ti.fr/,,,,,Éditeur de logiciels,2026-09-24
OGI,software,Rodez,https://ogi.fr/,,,,,Logiciels métier,2026-09-24
SIA 12 Informatique,cybersecurity|software,Rodez,https://www.sia12.fr/,,,,,Solutions informatiques,2026-09-24
XEFI Rodez,cybersecurity|software,Sébazac-Concourès,https://www.xefi.fr/fr/agence/xefi-rodez/,,,,,Infogérance,2026-09-24
