name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
A2IMP,industrial|software,Montauban,https://a2imp.fr/,,,,11-50,Automatisme industriel,2026-09-24
IF2M,ai|software,Montauban,https://if2m.fr/,,,,,Logiciels et IA,2026-09-24
iMSA,software,Montauban,https://www.imsa.fr/,,,,1000+,Informatique MSA,2026-09-24
IngéniSolution,ai|software,Montauban,https://ingenisolution.fr/,,,,,Logiciels IA,2026-09-24
SMI,cybersecurity|software,Montauban,https://info-smi.com/,,,,1-10,Infogérance,2026-09-24
WebyGO,software,Albias,https://webygo.fr/,,,,,Outils métier,2026-09-24
